Category,Home remedies,Disinfectants,Weather,Spread,Medicines for treatment,Technology for treatment,5G,Antibiotics,Hydroxychloroquine,Mosquitoes,UV light
Keyword 1,home remedy,bleach,warmer weather,5g,hydroxychloroquine,hand dryers,5g,antibiotics,hydroxychloroquine,mosquito spread,uv
Keyword 2,drink alcohol,disinfectant,warm weather,mosquito spread,chloroquine,hair dryers,,antiobiotics,chloroquine,mosquito transmit,u-v
Keyword 3,eat garlic,methanol,heat can kill,mosquito transmit,antibiotics,uv,,,,mosquito infect,ultra violet
Keyword 4,hot bath,ethanol,heat kills,mosquito infect,antiobiotics,u-v,,,,,ultra-violet
Keyword 5,saline,,hot weather,house flies spread,medicines treat,ultra violet,,,,,uvc radiation
Keyword 6,sip water,,cold weather,house flies transmit,medicine treat,ultra-violet,,,,,
Keyword 7,sipping water,,colder weather,house flies infect,medicines cure,uvc radiation,,,,,
Keyword 8,turmeric,,humidity can kill virus,,medicine cure,air conditioning,,,,,
Keyword 9,,,summer will kill virus,,flu shot treat,,,,,,
Keyword 10,,,higher humidity,,flu shot cure,,,,,,
Keyword 11,,,global warming will kill virus,,flu vaccine treat,,,,,,
Keyword 12,,,weather impact spread,,flu vaccine cure,,,,,,
Keyword 13,,,weather stop spread,,,,,,,,
Keyword 14,,,weather abate virus,,,,,,,,
Keyword 15,,,weather will help,,,,,,,,
Keyword 16,,,weather will kill,,,,,,,,
Keyword 17,,,weather will stop,,,,,,,,
Keyword 18,,,weather stops,,,,,,,,
Keyword 19,,,weather will eliminate,,,,,,,,
Keyword 20,,,weather eliminates,,,,,,,,
